,Ig9373,Ig9374,Ig9375,Ig9376,Ig9377,Ig9378,Ig9379,Ig9380,Ig9381,Ig9382,Ig9383,Ig9384,Ig9385,Ig9386,Ig9387,Ig9388,Ig9389,Ig9390,Ig9391,Ig9392,Ig9393,Ig9394,Ig9395,Ig9396,Ig9397,Ig9398,Ig9399,Ig9400,Ig9401,Ig9402,Ig9403,Ig9404,Ig9405,Ig9406,Ig9407,Ig9408,Ig9409,Ig9410,Ig9411,Ig9412,Ig9413,Ig9414,Ig9415,Ig9416,Ig9417,Ig9418,Ig9419,Ig9420,Ig9421,Ig9422,Ig9423,Ig9424,Ig9425,Ig9426,Ig9427,Ig9428,Ig9429,Ig9430,Ig9431,Ig9432,Ig9433,Ig9434,Ig9435,Ig9436,Ig9437,Ig9438,Ig9439,Ig9440,Ig9441,Ig9442,Ig9459,Ig9460,Ig9461,Ig9462,Ig9463,Ig9464,Ig9465,Ig9466,Ig9467,Ig9468,Ig9469,Ig9470,Ig9471,Ig9472,Ig9473,Ig9474,Ig9475,Ig9476,Ig9477,Ig9478
Cluster_3,10,15,24,27,48,30,23,10,22,43,8,25,89,22,27,226,25,41,14,2,24,19,38,12,3,22,23,10,47,18,0,22,74,130,4,18,31,26,3,65,9,92,1,12,78,16,72,15,129,36,22,61,34,3,66,109,32,5,31,60,7,78,57,78,39,117,19,62,84,5,29,19,20,1,19,35,31,85,60,10,33,18,29,49,19,96,23,24,14,33
Cluster_13,166,350,112,195,167,299,130,170,107,162,428,237,62,121,533,215,142,234,276,144,260,138,85,206,86,233,187,178,147,84,289,190,146,49,131,62,167,180,176,311,252,184,144,113,151,174,250,251,74,182,56,92,159,83,84,104,75,57,76,59,143,73,86,137,20,83,85,159,177,69,169,127,301,414,271,100,218,220,76,303,257,179,192,129,177,157,168,134,161,111
Cluster_14,87,237,168,117,222,45,93,135,226,52,76,93,1,134,114,79,92,113,264,300,62,132,290,176,96,159,107,202,108,156,180,159,124,58,229,178,131,81,129,54,98,62,207,88,47,100,42,116,68,110,189,137,134,52,69,91,59,48,111,123,226,89,120,108,35,29,155,198,234,39,41,90,47,44,138,116,98,73,43,85,30,87,129,141,81,51,43,59,136,73
Cluster_15,328,33,62,59,18,47,154,156,167,166,26,67,379,183,151,91,80,199,74,114,187,267,53,85,226,5,123,102,200,62,0,66,81,133,107,80,315,37,30,128,24,310,133,103,37,10,81,148,82,88,8,142,14,164,129,43,11,28,63,22,39,45,122,115,76,48,84,3,7,179,53,46,90,127,1,385,174,72,100,165,22,34,7,179,205,29,80,41,79,86
Cluster_16,4,1,102,102,0,17,36,54,1,33,4,0,0,14,4,51,11,19,25,6,1,1,0,0,2,2,1,35,4,84,7,0,31,9,5,60,6,8,7,1,0,1,0,19,6,57,5,22,16,12,8,2,5,7,5,31,11,6,13,0,5,56,1,7,4,0,14,4,9,51,2,23,21,4,6,1,11,5,5,4,2,8,6,0,19,70,29,32,11,15
Cluster_17,45,0,0,20,2,488,122,18,0,2,31,222,0,30,0,97,43,1,3,56,204,13,9,42,2,92,19,123,0,23,348,0,0,5,4,6,0,88,21,0,20,0,11,301,77,29,70,3,80,33,5,123,36,0,0,26,6,50,30,147,134,45,3,120,7,0,6,3,0,116,20,195,51,0,0,156,226,0,68,3,0,12,64,47,38,20,48,288,56,5
Cluster_18,526,519,547,882,544,526,243,802,544,404,773,564,292,428,511,439,609,507,713,369,446,607,995,383,300,761,592,547,367,662,505,677,637,423,389,336,101,429,361,424,612,224,476,234,334,790,452,421,160,720,366,463,450,322,341,298,731,297,428,446,517,384,546,303,195,261,409,398,655,338,420,438,543,782,389,484,473,644,339,403,1099,410,550,256,432,661,714,199,815,474
Cluster_19,71,37,150,139,79,30,217,112,187,400,37,142,211,252,45,284,167,46,66,147,274,373,48,115,443,126,226,352,584,171,73,192,239,306,340,336,113,245,241,306,130,374,81,397,234,106,202,288,434,243,271,271,187,459,347,329,278,320,257,337,146,266,253,493,428,533,312,301,142,178,72,232,216,21,108,151,237,134,191,131,120,225,226,157,296,265,144,189,107,232
Cluster_20,16,71,134,135,94,10,32,0,117,24,14,110,9,53,1,43,128,22,45,86,5,53,19,39,64,68,106,11,3,110,51,97,79,43,99,69,1,148,58,0,81,67,69,134,365,92,22,73,15,52,212,247,41,38,132,196,230,172,74,101,50,44,118,125,49,132,109,108,35,126,13,87,25,1,128,141,20,166,67,41,59,21,98,96,168,129,227,70,141,20
Cluster_22,573,217,145,339,322,70,253,466,314,370,429,100,490,236,286,218,444,617,198,272,319,528,279,448,270,71,535,221,415,119,231,658,87,231,283,162,642,112,162,405,363,399,269,226,57,63,567,640,221,104,80,81,301,310,161,33,128,83,72,109,228,119,411,416,53,267,103,276,355,124,747,236,321,514,376,527,237,136,683,682,156,262,197,219,192,176,266,526,94,214
